entity_id,state,last_changed
light.huewhite0475,on,2025-12-25T10:40:36.587Z
light.huewhite0475,off,2025-12-25T10:49:50.566Z
light.huewhite0475,on,2025-12-25T10:50:19.569Z
light.huewhite0475,off,2025-12-25T11:00:34.573Z
light.huewhite0475,on,2025-12-25T11:00:41.566Z
light.huewhite0475,off,2025-12-25T11:04:18.571Z
light.huewhite0475,on,2025-12-25T11:05:57.566Z
light.huewhite0475,off,2025-12-25T11:08:52.570Z
light.huewhite0475,on,2025-12-25T11:10:08.566Z
light.huewhite0475,off,2025-12-25T11:11:06.564Z
light.huewhite0475,on,2025-12-25T11:18:31.594Z
light.huewhite0475,off,2025-12-25T11:19:23.566Z
light.huewhite0475,on,2025-12-25T11:20:22.575Z
light.huewhite0475,off,2025-12-25T11:23:03.564Z
light.huewhite0475,on,2025-12-25T11:23:24.565Z
light.huewhite0475,off,2025-12-25T11:24:04.565Z
light.huewhite0475,on,2025-12-25T11:31:57.607Z
light.huewhite0475,off,2025-12-25T11:31:58.566Z
light.huewhite0475,on,2025-12-25T11:34:17.567Z
light.huewhite0475,off,2025-12-25T11:35:53.565Z
light.huewhite0475,on,2025-12-25T11:40:00.568Z
light.huewhite0475,off,2025-12-25T11:42:34.567Z
light.huewhite0475,on,2025-12-25T11:52:55.568Z
light.huewhite0475,off,2025-12-25T11:57:53.572Z
light.huewhite0475,on,2025-12-25T12:01:23.575Z
light.huewhite0475,off,2025-12-25T12:03:43.566Z
light.huewhite0475,on,2025-12-25T12:11:35.567Z
light.huewhite0475,off,2025-12-25T12:11:48.571Z
light.huewhite0475,on,2025-12-25T12:12:31.563Z
light.huewhite0475,off,2025-12-25T12:14:46.567Z
light.huewhite0475,on,2025-12-25T12:19:32.569Z
light.huewhite0475,off,2025-12-25T12:22:21.569Z
light.huewhite0475,on,2025-12-25T12:25:24.568Z
light.huewhite0475,off,2025-12-25T12:26:48.565Z
light.huewhite0475,on,2025-12-25T12:28:14.567Z
light.huewhite0475,off,2025-12-25T12:30:18.572Z
light.huewhite0475,on,2025-12-25T12:35:16.564Z
light.huewhite0475,off,2025-12-25T12:37:29.567Z
light.huewhite0475,on,2025-12-25T12:38:34.568Z
light.huewhite0475,off,2025-12-25T12:38:51.566Z
light.huewhite0475,on,2025-12-25T12:40:53.567Z
light.huewhite0475,off,2025-12-25T12:42:33.576Z
light.huewhite0475,on,2025-12-25T12:44:27.564Z
light.huewhite0475,off,2025-12-25T12:46:33.571Z
light.huewhite0475,on,2025-12-25T12:46:40.565Z
light.huewhite0475,off,2025-12-25T12:51:09.565Z
light.huewhite0475,on,2025-12-25T12:57:20.561Z
light.huewhite0475,off,2025-12-25T12:59:00.568Z
light.huewhite0475,on,2025-12-25T13:02:53.572Z
light.huewhite0475,off,2025-12-25T13:05:31.567Z
light.huewhite0475,on,2025-12-25T13:06:32.575Z
light.huewhite0475,off,2025-12-25T13:17:06.566Z
light.huewhite0475,on,2025-12-25T13:17:20.568Z
light.huewhite0475,off,2025-12-25T13:19:47.567Z
light.huewhite0475,on,2025-12-25T13:20:01.562Z
light.huewhite0475,off,2025-12-25T13:21:26.568Z
light.huewhite0475,on,2025-12-25T13:21:52.567Z
light.huewhite0475,off,2025-12-25T13:21:56.573Z
light.huewhite0475,on,2025-12-25T13:22:13.566Z
light.huewhite0475,off,2025-12-25T13:27:27.565Z
light.huewhite0475,on,2025-12-25T13:28:38.572Z
light.huewhite0475,off,2025-12-25T13:28:55.566Z
light.huewhite0475,on,2025-12-25T13:28:58.576Z
light.huewhite0475,off,2025-12-25T13:38:21.566Z
light.huewhite0475,on,2025-12-25T13:40:02.573Z
light.huewhite0475,off,2025-12-25T13:45:21.581Z
light.huewhite0475,on,2025-12-25T13:48:28.564Z
light.huewhite0475,off,2025-12-25T13:49:36.572Z
light.huewhite0475,on,2025-12-25T14:05:39.578Z
