Home Assistant notifications (Log started: 2025-12-25T10:40:36.497140+00:00)
--------------------------------------------------------------------------------
2025-12-25T11:32:18.479426+00:00 ; ESPZB2light ; ON
2025-12-25T11:32:35.483241+00:00 ; ESPZB1light ; OFF
2025-12-25T11:33:10.476137+00:00 ; ESPZB3light ; OFF
2025-12-25T11:34:17.478047+00:00 ; HueWhite0475 ; ON
2025-12-25T11:34:23.477635+00:00 ; HueWhite1549 ; OFF
2025-12-25T11:34:33.475608+00:00 ; Hue9GF ; ON
2025-12-25T11:35:23.478485+00:00 ; ESPZB2light ; OFF
2025-12-25T11:35:41.478082+00:00 ; ESPZB2light ; ON
2025-12-25T11:35:53.469414+00:00 ; HueWhite0475 ; OFF
2025-12-25T11:36:07.486011+00:00 ; ESPZB1light ; ON
2025-12-25T11:36:12.477524+00:00 ; Hue9GF ; OFF
2025-12-25T11:36:53.478233+00:00 ; ESPZB1light ; OFF
2025-12-25T11:37:42.490715+00:00 ; Hue9GF ; ON
2025-12-25T11:37:42.498474+00:00 ; Hue9GF ; ON
2025-12-25T11:39:31.478082+00:00 ; Hue9GF ; OFF
2025-12-25T11:40:00.469073+00:00 ; HueWhite0475 ; ON
2025-12-25T11:40:40.485964+00:00 ; ESPZB3light ; ON
2025-12-25T11:41:06.478671+00:00 ; ESPZB1light ; ON
2025-12-25T11:41:26.478911+00:00 ; Hue9L7 ; OFF
2025-12-25T11:42:34.477626+00:00 ; HueWhite0475 ; OFF
2025-12-25T11:42:40.484391+00:00 ; ESPZB1light ; OFF
2025-12-25T11:43:07.478780+00:00 ; Hue9GF ; ON
2025-12-25T11:44:04.478159+00:00 ; ESPZB3light ; OFF
2025-12-25T11:44:26.484280+00:00 ; HueWhite1549 ; ON
2025-12-25T11:44:43.476998+00:00 ; Hue9L7 ; ON
2025-12-25T11:45:03.477273+00:00 ; Hue9L7 ; OFF
2025-12-25T11:45:20.478017+00:00 ; Hue9L7 ; ON
2025-12-25T11:45:33.478880+00:00 ; Hue9GF ; OFF
2025-12-25T11:47:26.478322+00:00 ; HueWhite1549 ; OFF
2025-12-25T11:48:04.477087+00:00 ; ESPZB1light ; ON
2025-12-25T11:48:14.478741+00:00 ; HueWhite1549 ; ON
2025-12-25T11:48:38.474501+00:00 ; ESPZB2light ; OFF
2025-12-25T11:49:34.474164+00:00 ; Hue9GF ; ON
2025-12-25T11:50:01.478076+00:00 ; ESPZB3light ; ON
2025-12-25T11:50:59.472940+00:00 ; Hue9GF ; OFF
2025-12-25T11:51:12.478452+00:00 ; Hue9GF ; ON
2025-12-25T11:51:22.478071+00:00 ; ESPZB1light ; OFF
2025-12-25T11:51:54.482903+00:00 ; ESPZB2light ; ON
2025-12-25T11:52:40.483556+00:00 ; Hue9GF ; OFF
2025-12-25T11:52:55.478793+00:00 ; HueWhite0475 ; ON
2025-12-25T11:54:27.477385+00:00 ; ESPZB2light ; OFF
2025-12-25T11:55:26.477383+00:00 ; ESPZB2light ; ON
2025-12-25T11:56:05.494002+00:00 ; HueWhite1549 ; OFF
2025-12-25T11:56:12.478440+00:00 ; Hue9L7 ; OFF
2025-12-25T11:57:28.477492+00:00 ; Hue9L7 ; ON
2025-12-25T11:57:53.483230+00:00 ; HueWhite0475 ; OFF
2025-12-25T11:58:20.484368+00:00 ; ESPZB1light ; ON
2025-12-25T11:58:27.477201+00:00 ; Hue9GF ; ON
2025-12-25T11:58:41.477533+00:00 ; ESPZB2light ; OFF
2025-12-25T11:59:01.475306+00:00 ; Hue9L7 ; OFF
2025-12-25T11:59:49.479115+00:00 ; ESPZB1light ; OFF
2025-12-25T12:00:46.483948+00:00 ; HueWhite1549 ; ON
2025-12-25T12:00:58.476617+00:00 ; ESPZB2light ; ON
2025-12-25T12:01:20.476246+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:01:23.469531+00:00 ; HueWhite0475 ; ON
2025-12-25T12:01:55.478606+00:00 ; ESPZB3light ; OFF
2025-12-25T12:03:01.480655+00:00 ; ESPZB3light ; ON
2025-12-25T12:03:13.483124+00:00 ; ESPZB3light ; OFF
2025-12-25T12:03:43.475841+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:03:53.475191+00:00 ; ESPZB2light ; OFF
2025-12-25T12:05:02.469884+00:00 ; Hue9GF ; OFF
2025-12-25T12:05:18.478214+00:00 ; ESPZB1light ; ON
2025-12-25T12:05:36.477463+00:00 ; ESPZB1light ; OFF
2025-12-25T12:06:42.476340+00:00 ; Hue9GF ; ON
2025-12-25T12:06:44.478248+00:00 ; ESPZB1light ; ON
2025-12-25T12:07:24.477958+00:00 ; HueWhite1549 ; ON
2025-12-25T12:07:30.477614+00:00 ; ESPZB2light ; ON
2025-12-25T12:07:46.477114+00:00 ; ESPZB2light ; OFF
2025-12-25T12:08:26.485047+00:00 ; Hue9L7 ; ON
2025-12-25T12:08:44.479838+00:00 ; ESPZB2light ; ON
2025-12-25T12:08:52.478606+00:00 ; ESPZB1light ; OFF
2025-12-25T12:10:14.477714+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:10:17.475155+00:00 ; HueWhite1549 ; ON
2025-12-25T12:10:39.485046+00:00 ; Hue9GF ; OFF
2025-12-25T12:10:51.478838+00:00 ; ESPZB1light ; ON
2025-12-25T12:11:14.478408+00:00 ; Hue9GF ; ON
2025-12-25T12:11:35.478572+00:00 ; HueWhite0475 ; ON
2025-12-25T12:11:48.484763+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:12:31.476299+00:00 ; HueWhite0475 ; ON
2025-12-25T12:12:38.478126+00:00 ; ESPZB2light ; OFF
2025-12-25T12:13:15.480271+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:13:22.483407+00:00 ; Hue9GF ; OFF
2025-12-25T12:14:46.479602+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:15:33.476366+00:00 ; Hue9GF ; ON
2025-12-25T12:16:03.485947+00:00 ; ESPZB3light ; ON
2025-12-25T12:16:04.477953+00:00 ; Hue9GF ; OFF
2025-12-25T12:16:33.477685+00:00 ; ESPZB1light ; OFF
2025-12-25T12:16:48.478218+00:00 ; ESPZB2light ; ON
2025-12-25T12:17:12.493224+00:00 ; ESPZB2light ; OFF
2025-12-25T12:18:20.477739+00:00 ; ESPZB2light ; ON
2025-12-25T12:18:22.478074+00:00 ; ESPZB1light ; ON
2025-12-25T12:19:32.478303+00:00 ; HueWhite0475 ; ON
2025-12-25T12:19:40.484474+00:00 ; ESPZB1light ; OFF
2025-12-25T12:20:05.477798+00:00 ; HueWhite1549 ; ON
2025-12-25T12:21:26.476253+00:00 ; ESPZB2light ; OFF
2025-12-25T12:21:30.477119+00:00 ; Hue9L7 ; OFF
2025-12-25T12:21:43.484481+00:00 ; Hue9GF ; ON
2025-12-25T12:22:21.478197+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:23:15.477127+00:00 ; Hue9GF ; OFF
2025-12-25T12:23:38.477859+00:00 ; ESPZB1light ; ON
2025-12-25T12:24:18.476998+00:00 ; ESPZB3light ; OFF
2025-12-25T12:25:12.476180+00:00 ; ESPZB2light ; ON
2025-12-25T12:25:14.477730+00:00 ; ESPZB2light ; OFF
2025-12-25T12:25:15.486695+00:00 ; Hue9L7 ; ON
2025-12-25T12:25:24.477443+00:00 ; HueWhite0475 ; ON
2025-12-25T12:26:48.476065+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:26:52.482926+00:00 ; ESPZB1light ; OFF
2025-12-25T12:27:18.469082+00:00 ; ESPZB3light ; ON
2025-12-25T12:27:25.478936+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:28:14.478176+00:00 ; HueWhite0475 ; ON
2025-12-25T12:28:25.483208+00:00 ; ESPZB1light ; ON
2025-12-25T12:28:38.469386+00:00 ; ESPZB1light ; OFF
2025-12-25T12:29:25.478225+00:00 ; Hue9L7 ; OFF
2025-12-25T12:29:42.478090+00:00 ; ESPZB2light ; ON
2025-12-25T12:30:00.486490+00:00 ; ESPZB1light ; ON
2025-12-25T12:30:18.479054+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:31:46.479631+00:00 ; HueWhite1549 ; ON
2025-12-25T12:32:21.483496+00:00 ; ESPZB2light ; OFF
2025-12-25T12:32:26.479212+00:00 ; Hue9GF ; ON
2025-12-25T12:33:13.476932+00:00 ; ESPZB3light ; OFF
2025-12-25T12:34:34.476443+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:35:03.474117+00:00 ; ESPZB2light ; ON
2025-12-25T12:35:16.476045+00:00 ; HueWhite0475 ; ON
2025-12-25T12:35:26.474322+00:00 ; ESPZB3light ; ON
2025-12-25T12:35:35.476224+00:00 ; Hue9L7 ; ON
2025-12-25T12:36:37.477144+00:00 ; Hue9L7 ; OFF
2025-12-25T12:36:54.479676+00:00 ; HueWhite1549 ; ON
2025-12-25T12:37:06.478431+00:00 ; ESPZB1light ; OFF
2025-12-25T12:37:21.484774+00:00 ; ESPZB1light ; ON
2025-12-25T12:37:29.477604+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:38:34.477939+00:00 ; HueWhite0475 ; ON
2025-12-25T12:38:51.469965+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:39:06.484792+00:00 ; Hue9GF ; OFF
2025-12-25T12:39:43.477569+00:00 ; ESPZB2light ; OFF
2025-12-25T12:39:58.477486+00:00 ; ESPZB1light ; OFF
2025-12-25T12:40:53.478074+00:00 ; HueWhite0475 ; ON
2025-12-25T12:41:03.476037+00:00 ; ESPZB2light ; ON
2025-12-25T12:41:30.469382+00:00 ; Hue9L7 ; ON
2025-12-25T12:41:33.476620+00:00 ; ESPZB2light ; OFF
2025-12-25T12:42:33.477246+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:42:47.484279+00:00 ; ESPZB2light ; ON
2025-12-25T12:42:57.475603+00:00 ; Hue9L7 ; OFF
2025-12-25T12:43:38.477494+00:00 ; Hue9GF ; ON
2025-12-25T12:44:26.484757+00:00 ; Hue9L7 ; ON
2025-12-25T12:44:27.471045+00:00 ; HueWhite0475 ; ON
2025-12-25T12:44:28.477661+00:00 ; ESPZB3light ; OFF
2025-12-25T12:45:44.478298+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:46:33.484813+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:46:40.478971+00:00 ; HueWhite0475 ; ON
2025-12-25T12:47:53.478837+00:00 ; ESPZB2light ; OFF
2025-12-25T12:48:57.476519+00:00 ; HueWhite1549 ; ON
2025-12-25T12:49:04.478357+00:00 ; Hue9GF ; OFF
2025-12-25T12:49:44.478136+00:00 ; ESPZB1light ; ON
2025-12-25T12:49:53.478122+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:50:04.482351+00:00 ; ESPZB1light ; OFF
2025-12-25T12:50:11.475912+00:00 ; HueWhite1549 ; ON
2025-12-25T12:50:55.475668+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:51:09.480882+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:52:09.503892+00:00 ; HueWhite1549 ; ON
2025-12-25T12:53:11.471811+00:00 ; Hue9GF ; ON
2025-12-25T12:53:44.471135+00:00 ; Hue9GF ; OFF
2025-12-25T12:53:45.483319+00:00 ; Hue9L7 ; OFF
2025-12-25T12:53:55.478553+00:00 ; ESPZB1light ; ON
2025-12-25T12:54:49.477957+00:00 ; ESPZB3light ; ON
2025-12-25T12:55:05.477279+00:00 ; ESPZB1light ; OFF
2025-12-25T12:55:52.484604+00:00 ; Hue9L7 ; ON
2025-12-25T12:55:58.472691+00:00 ; ESPZB1light ; ON
2025-12-25T12:56:22.477517+00:00 ; ESPZB3light ; OFF
2025-12-25T12:56:48.478376+00:00 ; Hue9GF ; ON
2025-12-25T12:57:20.483262+00:00 ; HueWhite0475 ; ON
2025-12-25T12:58:51.477409+00:00 ; HueWhite1549 ; OFF
2025-12-25T12:59:00.474021+00:00 ; HueWhite0475 ; OFF
2025-12-25T12:59:06.485131+00:00 ; HueWhite1549 ; ON
2025-12-25T13:00:15.469952+00:00 ; Hue9L7 ; OFF
2025-12-25T13:00:22.471302+00:00 ; Hue9GF ; OFF
2025-12-25T13:01:05.478472+00:00 ; ESPZB2light ; ON
2025-12-25T13:01:51.485846+00:00 ; Hue9L7 ; ON
2025-12-25T13:02:23.475304+00:00 ; Hue9L7 ; OFF
2025-12-25T13:02:53.477838+00:00 ; HueWhite0475 ; ON
2025-12-25T13:03:50.479061+00:00 ; ESPZB2light ; OFF
2025-12-25T13:04:07.486626+00:00 ; HueWhite1549 ; OFF
2025-12-25T13:05:06.478253+00:00 ; Hue9GF ; ON
2025-12-25T13:05:24.477986+00:00 ; Hue9GF ; OFF
2025-12-25T13:05:31.477719+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:05:45.483195+00:00 ; HueWhite1549 ; ON
2025-12-25T13:06:32.478239+00:00 ; HueWhite0475 ; ON
2025-12-25T13:07:12.479163+00:00 ; HueWhite1549 ; OFF
2025-12-25T13:07:20.484322+00:00 ; ESPZB2light ; ON
2025-12-25T13:08:17.477500+00:00 ; ESPZB2light ; OFF
2025-12-25T13:08:23.479033+00:00 ; ESPZB3light ; ON
2025-12-25T13:08:36.479023+00:00 ; Hue9L7 ; ON
2025-12-25T13:08:43.483409+00:00 ; Hue9L7 ; OFF
2025-12-25T13:09:01.471720+00:00 ; HueWhite1549 ; ON
2025-12-25T13:09:49.478211+00:00 ; Hue9GF ; ON
2025-12-25T13:09:53.475593+00:00 ; Hue9GF ; OFF
2025-12-25T13:10:37.484911+00:00 ; ESPZB2light ; ON
2025-12-25T13:11:45.478416+00:00 ; ESPZB1light ; OFF
2025-12-25T13:11:57.471648+00:00 ; HueWhite1549 ; OFF
2025-12-25T13:11:59.478207+00:00 ; ESPZB1light ; ON
2025-12-25T13:12:17.484891+00:00 ; Hue9L7 ; ON
2025-12-25T13:13:02.476152+00:00 ; Hue9L7 ; OFF
2025-12-25T13:13:27.477876+00:00 ; ESPZB1light ; OFF
2025-12-25T13:14:19.477781+00:00 ; HueWhite1549 ; ON
2025-12-25T13:14:39.488473+00:00 ; Hue9L7 ; ON
2025-12-25T13:14:48.478626+00:00 ; Hue9L7 ; OFF
2025-12-25T13:15:22.477776+00:00 ; Hue9GF ; ON
2025-12-25T13:16:21.485211+00:00 ; Hue9GF ; OFF
2025-12-25T13:17:06.477942+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:17:20.477672+00:00 ; HueWhite0475 ; ON
2025-12-25T13:18:11.477704+00:00 ; ESPZB1light ; ON
2025-12-25T13:18:50.477606+00:00 ; HueWhite1549 ; OFF
