Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T11:24:17.515772+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:24:53.514521+00:00 ; Hue9GF ; OFF
2025-12-24T11:24:58.518470+00:00 ; ESPZB3light ; ON
2025-12-24T11:25:57.516334+00:00 ; HueWhite0475 ; ON
2025-12-24T11:25:58.516658+00:00 ; Hue9GF ; ON
2025-12-24T11:26:32.515393+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:26:43.515060+00:00 ; Hue9L7 ; ON
2025-12-24T11:26:47.521828+00:00 ; ESPZB2light ; OFF
2025-12-24T11:27:07.517688+00:00 ; ESPZB3light ; OFF
2025-12-24T11:27:47.516067+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:28:24.516840+00:00 ; ESPZB1light ; OFF
2025-12-24T11:28:25.523264+00:00 ; ESPZB1light ; ON
2025-12-24T11:29:19.517723+00:00 ; ESPZB2light ; ON
2025-12-24T11:29:44.515489+00:00 ; ESPZB1light ; OFF
2025-12-24T11:29:45.517062+00:00 ; ESPZB1light ; ON
2025-12-24T11:30:40.515492+00:00 ; Hue9GF ; OFF
2025-12-24T11:30:46.515937+00:00 ; ESPZB3light ; ON
2025-12-24T11:32:28.517508+00:00 ; Hue9GF ; ON
2025-12-24T11:33:09.523652+00:00 ; HueWhite0475 ; ON
2025-12-24T11:33:16.517019+00:00 ; Hue9L7 ; OFF
2025-12-24T11:34:04.515163+00:00 ; Hue9GF ; OFF
2025-12-24T11:34:49.515664+00:00 ; ESPZB3light ; OFF
2025-12-24T11:35:09.521565+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:35:33.516797+00:00 ; ESPZB2light ; OFF
2025-12-24T11:35:43.513797+00:00 ; Hue9L7 ; ON
2025-12-24T11:35:48.513940+00:00 ; HueWhite0475 ; ON
2025-12-24T11:36:54.516531+00:00 ; HueWhite0475 ; OFF
2025-12-24T11:37:19.517056+00:00 ; ESPZB3light ; ON
2025-12-24T11:37:23.519273+00:00 ; Hue9L7 ; OFF
2025-12-24T11:37:46.523072+00:00 ; HueWhite1549 ; ON
2025-12-24T11:38:05.515679+00:00 ; Hue9GF ; ON
