Timestamp,Device,Command
2025-12-20T17:08:46.494963+00:00,Nanoleaf1624,ON
2025-12-20T17:09:03.502542+00:00,HueWhite1549,ON
2025-12-20T17:09:36.491948+00:00,ESP1light,ON
2025-12-20T17:09:47.497945+00:00,Nanoleaf1624,OFF
2025-12-20T17:10:16.493967+00:00,ESP2light,ON
2025-12-20T17:10:25.491405+00:00,ESP2light,OFF
2025-12-20T17:10:43.490573+00:00,HueWhite1549,OFF
2025-12-20T17:11:20.541453+00:00,HueWhite0475,ON
2025-12-20T17:11:37.494311+00:00,ESP3light,ON
2025-12-20T17:12:11.485627+00:00,ESP2light,ON
2025-12-20T17:13:28.486641+00:00,HueWhite1549,ON
2025-12-20T17:13:30.494995+00:00,ESP1light,OFF
2025-12-20T17:13:47.486238+00:00,ESP1light,ON
2025-12-20T17:14:14.489009+00:00,ESP1light,OFF
2025-12-20T17:14:53.507588+00:00,Nanoleaf0176,ON
2025-12-20T17:14:53.509062+00:00,HueWhite1549,OFF
2025-12-20T17:15:48.486091+00:00,HueWhite1549,ON
2025-12-20T17:15:59.487814+00:00,ESP3light,OFF
2025-12-20T17:16:27.488244+00:00,Nanoleaf1624,ON
2025-12-20T17:16:51.490715+00:00,Nanoleaf0176,OFF
2025-12-20T17:17:27.485052+00:00,HueWhite0475,OFF
2025-12-20T17:17:38.487339+00:00,HueWhite1549,OFF
2025-12-20T17:17:40.483883+00:00,Nanoleaf0176,ON
2025-12-20T17:18:22.486964+00:00,ESP2light,OFF
2025-12-20T17:19:17.488505+00:00,ESP1light,ON
2025-12-20T17:19:27.488491+00:00,ESP2light,ON
2025-12-20T17:19:41.486819+00:00,ESP1light,OFF
2025-12-20T17:20:52.484527+00:00,HueWhite0475,ON
2025-12-20T17:21:14.488625+00:00,ESP3light,ON
2025-12-20T17:21:39.486661+00:00,ESP3light,OFF
2025-12-20T17:22:11.488167+00:00,HueWhite1549,ON
2025-12-20T17:22:21.487926+00:00,ESP3light,ON
2025-12-20T17:22:28.492325+00:00,ESP2light,OFF
2025-12-20T17:23:22.485430+00:00,ESP3light,OFF
2025-12-20T17:23:35.487790+00:00,ESP3light,ON
2025-12-20T17:23:45.488177+00:00,HueWhite0475,OFF
2025-12-20T17:23:56.487624+00:00,HueWhite1549,OFF
2025-12-20T17:24:44.488410+00:00,HueWhite1549,ON
2025-12-20T17:25:11.487440+00:00,Nanoleaf1624,OFF
2025-12-20T17:25:26.486154+00:00,HueWhite1549,OFF
2025-12-20T17:25:49.488653+00:00,ESP3light,OFF
2025-12-20T17:26:01.489133+00:00,ESP2light,ON
2025-12-20T17:26:30.485309+00:00,ESP2light,OFF
2025-12-20T17:27:15.488001+00:00,HueWhite0475,ON
2025-12-20T17:27:19.487125+00:00,ESP2light,ON
2025-12-20T17:28:06.495619+00:00,Nanoleaf1624,ON
2025-12-20T17:28:44.486835+00:00,HueWhite1549,ON
2025-12-20T17:28:45.487757+00:00,HueWhite0475,OFF
2025-12-20T17:28:48.486391+00:00,HueWhite1549,OFF
2025-12-20T17:30:01.493479+00:00,HueWhite1549,ON
2025-12-20T17:30:09.486142+00:00,ESP2light,OFF
2025-12-20T17:30:43.486289+00:00,ESP3light,ON
2025-12-20T17:31:32.485197+00:00,HueWhite1549,OFF
2025-12-20T17:31:41.489168+00:00,ESP3light,OFF
2025-12-20T17:32:38.494625+00:00,ESP3light,ON
2025-12-20T17:33:01.484374+00:00,Nanoleaf0176,OFF
2025-12-20T17:33:02.487751+00:00,ESP1light,ON
2025-12-20T17:33:50.486413+00:00,ESP3light,OFF
2025-12-20T17:34:09.486991+00:00,ESP2light,ON
2025-12-20T17:34:43.503239+00:00,Nanoleaf0176,ON
2025-12-20T17:35:17.488384+00:00,HueWhite0475,ON
2025-12-20T17:35:43.488639+00:00,ESP1light,OFF
2025-12-20T17:35:58.488263+00:00,Nanoleaf0176,OFF
2025-12-20T17:36:28.492834+00:00,ESP3light,ON
2025-12-20T17:37:14.486910+00:00,ESP3light,OFF
2025-12-20T17:38:04.489703+00:00,ESP2light,OFF
2025-12-20T17:38:10.485599+00:00,HueWhite1549,ON
2025-12-20T17:38:52.492113+00:00,ESP1light,ON
2025-12-20T17:38:52.499643+00:00,Nanoleaf1624,OFF
2025-12-20T17:39:26.486272+00:00,ESP3light,ON
2025-12-20T17:39:55.488105+00:00,ESP3light,OFF
2025-12-20T17:40:11.488098+00:00,Nanoleaf0176,ON
2025-12-20T17:40:32.488507+00:00,Nanoleaf0176,OFF
2025-12-20T17:41:20.484146+00:00,Nanoleaf1624,ON
2025-12-20T17:41:43.490455+00:00,Nanoleaf0176,ON
2025-12-20T17:42:30.490794+00:00,Nanoleaf0176,OFF
2025-12-20T17:42:48.486176+00:00,ESP3light,ON
2025-12-20T17:43:03.485423+00:00,ESP3light,OFF
2025-12-20T17:43:26.486629+00:00,HueWhite1549,OFF
2025-12-20T17:43:59.487453+00:00,ESP1light,OFF
2025-12-20T17:44:39.487748+00:00,HueWhite1549,ON
2025-12-20T17:44:50.486689+00:00,Nanoleaf0176,ON
2025-12-20T17:44:54.485668+00:00,Nanoleaf0176,OFF
2025-12-20T17:45:49.487070+00:00,ESP1light,ON
2025-12-20T17:46:21.493065+00:00,ESP1light,OFF
2025-12-20T17:46:54.487542+00:00,HueWhite1549,OFF
2025-12-20T17:47:12.485658+00:00,ESP1light,ON
2025-12-20T17:48:05.490264+00:00,Nanoleaf0176,ON
2025-12-20T17:48:12.486498+00:00,ESP1light,OFF
2025-12-20T17:48:55.494211+00:00,Nanoleaf0176,OFF
2025-12-20T17:50:28.489150+00:00,Nanoleaf0176,ON
