entity_id,state,last_changed
light.esp1light,on,2025-12-21T15:51:47.515Z
light.esp1light,off,2025-12-21T15:54:33.470Z
light.esp1light,on,2025-12-21T16:06:12.529Z
light.esp1light,off,2025-12-21T16:07:55.448Z
light.esp1light,on,2025-12-21T16:09:02.516Z
light.esp1light,off,2025-12-21T16:11:35.459Z
light.esp1light,on,2025-12-21T16:17:58.518Z
light.esp1light,off,2025-12-21T16:20:03.461Z
light.esp1light,on,2025-12-21T16:21:09.520Z
light.esp1light,off,2025-12-21T16:21:46.448Z
light.esp1light,on,2025-12-21T16:28:34.529Z
light.esp1light,off,2025-12-21T16:33:55.468Z
light.esp1light,on,2025-12-21T16:43:20.534Z
light.esp1light,off,2025-12-21T16:49:04.467Z
light.esp1light,on,2025-12-21T16:49:37.535Z
light.esp1light,off,2025-12-21T16:50:28.457Z
light.esp1light,on,2025-12-21T16:51:15.506Z
light.esp1light,off,2025-12-21T17:06:44.456Z
light.esp1light,on,2025-12-21T17:07:15.526Z
light.esp1light,off,2025-12-21T17:07:46.458Z
light.esp1light,on,2025-12-21T17:11:11.542Z
light.esp1light,off,2025-12-21T17:11:56.445Z
light.esp1light,on,2025-12-21T17:13:49.644Z
light.esp1light,off,2025-12-21T17:14:51.476Z
light.esp1light,on,2025-12-21T17:18:06.527Z
light.esp1light,off,2025-12-21T17:20:07.448Z
light.esp1light,on,2025-12-21T17:20:53.538Z
light.esp1light,off,2025-12-21T17:25:13.472Z
light.esp1light,on,2025-12-21T17:31:15.520Z
light.esp1light,off,2025-12-21T17:33:54.461Z
light.esp1light,on,2025-12-21T17:40:09.538Z
light.esp1light,off,2025-12-21T17:42:51.462Z
light.esp1light,on,2025-12-21T17:46:01.533Z
light.esp1light,off,2025-12-21T17:49:09.453Z
light.esp1light,on,2025-12-21T17:52:41.525Z
light.esp1light,off,2025-12-21T17:55:07.458Z
light.esp1light,on,2025-12-21T17:56:42.527Z
light.esp1light,off,2025-12-21T18:03:32.459Z
light.esp1light,on,2025-12-21T18:05:47.514Z
light.esp1light,off,2025-12-21T18:15:15.449Z
light.esp1light,on,2025-12-21T18:15:56.517Z
light.esp1light,off,2025-12-21T18:16:13.459Z
light.esp1light,on,2025-12-21T18:17:18.545Z
light.esp1light,off,2025-12-21T18:17:19.574Z
light.esp1light,on,2025-12-21T18:17:51.534Z
light.esp1light,off,2025-12-21T18:25:07.469Z
light.esp1light,on,2025-12-21T18:26:31.507Z
light.esp1light,off,2025-12-21T18:28:41.469Z
light.esp1light,on,2025-12-21T18:29:17.535Z
light.esp1light,off,2025-12-21T18:32:18.480Z
light.esp1light,on,2025-12-21T18:37:37.536Z
light.esp1light,off,2025-12-21T18:42:10.453Z
light.esp1light,on,2025-12-21T18:43:38.519Z
light.esp1light,off,2025-12-21T18:48:50.461Z
light.esp1light,on,2025-12-21T18:50:07.512Z
light.esp1light,off,2025-12-21T18:51:57.452Z
light.esp1light,on,2025-12-21T18:52:46.515Z
light.esp1light,off,2025-12-21T19:03:05.464Z
light.esp1light,on,2025-12-21T19:07:37.522Z
light.esp1light,off,2025-12-21T19:10:39.724Z
light.esp1light,on,2025-12-21T19:18:25.525Z
light.esp1light,off,2025-12-21T19:22:09.477Z
light.esp1light,on,2025-12-21T19:23:20.526Z
light.esp1light,off,2025-12-21T19:24:38.468Z
light.esp1light,on,2025-12-21T19:26:05.523Z
light.esp1light,off,2025-12-21T19:28:32.468Z
light.esp1light,on,2025-12-21T19:28:42.515Z
light.esp1light,off,2025-12-21T19:29:19.467Z
light.esp1light,on,2025-12-21T19:51:03.519Z
light.esp1light,off,2025-12-21T20:02:17.452Z
light.esp1light,on,2025-12-21T20:03:17.537Z
light.esp1light,off,2025-12-21T20:05:19.695Z
light.esp1light,on,2025-12-21T20:11:53.533Z
light.esp1light,off,2025-12-21T20:16:18.466Z
light.esp1light,on,2025-12-21T20:18:01.512Z
light.esp1light,off,2025-12-21T20:26:23.462Z
light.esp1light,on,2025-12-21T20:27:06.544Z
light.esp1light,off,2025-12-21T20:28:03.457Z
light.esp1light,on,2025-12-21T20:33:38.543Z
light.esp1light,off,2025-12-21T20:34:07.465Z
light.esp1light,on,2025-12-21T20:34:44.522Z
light.esp1light,off,2025-12-21T20:34:45.573Z
light.esp1light,on,2025-12-21T20:36:13.543Z
light.esp1light,off,2025-12-21T20:41:10.466Z
light.esp1light,on,2025-12-21T20:43:08.522Z
light.esp1light,off,2025-12-21T20:44:06.466Z
light.esp1light,on,2025-12-21T20:49:34.511Z
light.esp1light,off,2025-12-21T20:52:17.474Z
light.esp1light,on,2025-12-21T20:54:01.511Z
light.esp1light,off,2025-12-21T21:07:09.457Z
light.esp1light,on,2025-12-21T21:08:35.523Z
light.esp1light,off,2025-12-21T21:10:51.466Z
light.esp1light,on,2025-12-21T21:11:36.524Z
light.esp1light,off,2025-12-21T21:17:14.467Z
light.esp1light,on,2025-12-21T21:18:11.520Z
light.esp1light,off,2025-12-21T21:24:57.446Z
light.esp1light,on,2025-12-21T21:26:51.509Z
light.esp1light,off,2025-12-21T21:27:12.467Z
light.esp1light,on,2025-12-21T21:31:48.513Z
light.esp1light,off,2025-12-21T21:39:49.461Z
light.esp1light,on,2025-12-21T21:41:24.537Z
light.esp1light,off,2025-12-21T21:46:45.460Z
light.esp1light,on,2025-12-21T21:50:47.549Z
light.esp1light,off,2025-12-21T22:01:31.458Z
light.esp1light,on,2025-12-21T22:04:00.517Z
light.esp1light,off,2025-12-21T22:04:21.437Z
light.esp1light,on,2025-12-21T22:08:30.577Z
light.esp1light,off,2025-12-21T22:08:59.445Z
light.esp1light,on,2025-12-21T22:15:15.561Z
light.esp1light,off,2025-12-21T22:16:14.463Z
light.esp1light,on,2025-12-21T22:16:47.507Z
light.esp1light,off,2025-12-21T22:19:27.459Z
light.esp1light,on,2025-12-21T22:20:35.525Z
light.esp1light,off,2025-12-21T22:27:53.443Z
light.esp1light,on,2025-12-21T22:31:20.528Z
light.esp1light,off,2025-12-21T22:32:56.460Z
light.esp1light,on,2025-12-21T22:34:47.526Z
light.esp1light,off,2025-12-21T22:35:28.469Z
light.esp1light,on,2025-12-21T22:39:12.527Z
light.esp1light,off,2025-12-21T22:39:59.440Z
light.esp1light,on,2025-12-21T22:44:31.545Z
light.esp1light,off,2025-12-21T22:45:40.460Z
light.esp1light,on,2025-12-21T22:46:27.508Z
light.esp1light,off,2025-12-21T22:50:45.455Z
light.esp1light,on,2025-12-21T22:53:24.534Z
light.esp1light,off,2025-12-21T22:54:53.457Z
light.esp1light,on,2025-12-21T22:55:18.526Z
light.esp1light,off,2025-12-21T22:58:10.442Z
light.esp1light,on,2025-12-21T23:03:31.509Z
light.esp1light,off,2025-12-21T23:06:39.464Z
light.esp1light,on,2025-12-21T23:06:40.633Z
light.esp1light,off,2025-12-21T23:14:57.453Z
light.esp1light,on,2025-12-21T23:18:34.515Z
light.esp1light,off,2025-12-21T23:21:38.454Z
light.esp1light,on,2025-12-21T23:26:23.520Z
light.esp1light,off,2025-12-21T23:27:24.453Z
light.esp1light,on,2025-12-21T23:33:30.502Z
light.esp1light,off,2025-12-21T23:34:38.451Z
light.esp1light,on,2025-12-21T23:39:02.537Z
light.esp1light,off,2025-12-21T23:43:56.469Z
light.esp1light,on,2025-12-21T23:47:56.507Z
light.esp1light,off,2025-12-21T23:48:10.459Z
light.esp1light,on,2025-12-21T23:55:02.538Z
light.esp1light,off,2025-12-21T23:59:35.458Z
light.esp1light,on,2025-12-22T00:08:02.531Z
light.esp1light,off,2025-12-22T00:17:38.458Z
light.esp1light,on,2025-12-22T00:20:28.507Z
light.esp1light,off,2025-12-22T00:20:51.447Z
light.esp1light,on,2025-12-22T00:37:44.510Z
light.esp1light,off,2025-12-22T00:40:46.494Z
light.esp1light,on,2025-12-22T00:42:16.532Z
light.esp1light,off,2025-12-22T00:47:36.464Z
light.esp1light,on,2025-12-22T00:52:05.512Z
light.esp1light,off,2025-12-22T00:53:07.646Z
light.esp1light,on,2025-12-22T00:55:50.516Z
light.esp1light,off,2025-12-22T00:58:23.448Z
light.esp1light,on,2025-12-22T00:58:50.544Z
light.esp1light,off,2025-12-22T01:00:20.450Z
light.esp1light,on,2025-12-22T01:06:11.529Z
light.esp1light,off,2025-12-22T01:10:20.464Z
light.esp1light,on,2025-12-22T01:11:20.542Z
light.esp1light,off,2025-12-22T01:14:48.451Z
light.esp1light,on,2025-12-22T01:18:39.531Z
light.esp1light,off,2025-12-22T01:19:26.466Z
light.esp1light,on,2025-12-22T01:19:44.514Z
light.esp1light,off,2025-12-22T01:24:40.469Z
light.esp1light,on,2025-12-22T01:30:07.523Z
light.esp1light,off,2025-12-22T01:36:55.457Z
light.esp1light,on,2025-12-22T01:38:23.504Z
light.esp1light,off,2025-12-22T01:38:42.467Z
light.esp1light,on,2025-12-22T01:40:34.515Z
light.esp1light,off,2025-12-22T01:54:38.459Z
light.esp1light,on,2025-12-22T02:01:26.506Z
light.esp1light,off,2025-12-22T02:06:33.470Z
light.esp1light,on,2025-12-22T02:09:21.518Z
light.esp1light,off,2025-12-22T02:10:23.459Z
light.esp1light,on,2025-12-22T02:10:53.548Z
light.esp1light,off,2025-12-22T02:12:58.459Z
light.esp1light,on,2025-12-22T02:16:31.539Z
light.esp1light,off,2025-12-22T02:16:45.465Z
light.esp1light,on,2025-12-22T02:17:48.525Z
light.esp1light,off,2025-12-22T02:17:55.462Z
light.esp1light,on,2025-12-22T02:22:15.551Z
light.esp1light,off,2025-12-22T02:24:01.445Z
light.esp1light,on,2025-12-22T02:30:28.522Z
light.esp1light,off,2025-12-22T02:41:34.453Z
light.esp1light,on,2025-12-22T02:42:05.523Z
light.esp1light,off,2025-12-22T02:47:16.446Z
light.esp1light,on,2025-12-22T02:49:46.505Z
light.esp1light,off,2025-12-22T02:51:28.468Z
light.esp1light,on,2025-12-22T02:55:14.515Z
light.esp1light,off,2025-12-22T02:57:07.450Z
light.esp1light,on,2025-12-22T03:02:10.515Z
light.esp1light,off,2025-12-22T03:04:38.473Z
light.esp1light,on,2025-12-22T03:05:56.531Z
light.esp1light,off,2025-12-22T03:06:29.474Z
light.esp1light,on,2025-12-22T03:10:02.511Z
light.esp1light,off,2025-12-22T03:11:31.454Z
light.esp1light,on,2025-12-22T03:12:39.509Z
light.esp1light,off,2025-12-22T03:19:47.474Z
light.esp1light,on,2025-12-22T03:21:56.544Z
light.esp1light,off,2025-12-22T03:22:12.466Z
light.esp1light,on,2025-12-22T03:23:38.523Z
light.esp1light,off,2025-12-22T03:26:07.467Z
light.esp1light,on,2025-12-22T03:27:13.520Z
light.esp1light,off,2025-12-22T03:28:54.486Z
light.esp1light,on,2025-12-22T03:29:13.575Z
light.esp1light,off,2025-12-22T03:33:53.457Z
light.esp1light,on,2025-12-22T03:40:48.526Z
light.esp1light,off,2025-12-22T03:45:33.450Z
light.esp2light,on,2025-12-21T15:52:22.543Z
light.esp2light,off,2025-12-21T15:54:12.492Z
light.esp2light,on,2025-12-21T15:58:09.550Z
