Timestamp,Device,Command
2025-12-21T16:39:47.184271+00:00,ESP2light,ON
2025-12-21T16:40:34.187667+00:00,ESP3light,ON
2025-12-21T16:40:48.184476+00:00,HueWhite1549,OFF
2025-12-21T16:41:09.184891+00:00,Nanoleaf1624,OFF
2025-12-21T16:41:32.184140+00:00,Nanoleaf0176,OFF
2025-12-21T16:42:22.190209+00:00,HueWhite0475,ON
2025-12-21T16:43:08.186394+00:00,Nanoleaf0176,ON
2025-12-21T16:43:20.185954+00:00,ESP1light,ON
2025-12-21T16:43:48.187220+00:00,Nanoleaf0176,OFF
2025-12-21T16:44:34.184817+00:00,HueWhite0475,OFF
2025-12-21T16:45:16.183770+00:00,ESP3light,OFF
2025-12-21T16:45:57.187542+00:00,ESP2light,OFF
2025-12-21T16:46:27.186491+00:00,Nanoleaf0176,ON
2025-12-21T16:46:54.187195+00:00,ESP2light,ON
2025-12-21T16:47:52.194384+00:00,Nanoleaf1624,ON
2025-12-21T16:48:27.186719+00:00,HueWhite1549,ON
2025-12-21T16:49:03.185898+00:00,ESP1light,OFF
2025-12-21T16:49:05.185132+00:00,Nanoleaf0176,OFF
2025-12-21T16:49:37.186583+00:00,ESP1light,ON
2025-12-21T16:50:22.181685+00:00,ESP2light,OFF
2025-12-21T16:50:27.185137+00:00,ESP1light,OFF
2025-12-21T16:51:15.184476+00:00,ESP1light,ON
2025-12-21T16:51:35.193097+00:00,HueWhite0475,ON
2025-12-21T16:52:07.186329+00:00,Nanoleaf1624,OFF
2025-12-21T16:52:32.185502+00:00,Nanoleaf0176,ON
2025-12-21T16:52:45.185952+00:00,Nanoleaf0176,OFF
2025-12-21T16:53:28.233143+00:00,Nanoleaf1624,ON
2025-12-21T16:53:38.186493+00:00,Nanoleaf0176,ON
2025-12-21T16:54:17.185323+00:00,HueWhite1549,OFF
2025-12-21T16:55:19.192911+00:00,ESP2light,ON
2025-12-21T16:55:23.183550+00:00,Nanoleaf1624,OFF
2025-12-21T16:56:09.193623+00:00,Nanoleaf0176,OFF
2025-12-21T16:57:06.184730+00:00,ESP2light,OFF
2025-12-21T16:57:37.185835+00:00,Nanoleaf0176,ON
2025-12-21T16:57:58.186161+00:00,Nanoleaf1624,ON
2025-12-21T16:59:12.184704+00:00,Nanoleaf1624,OFF
2025-12-21T16:59:12.201337+00:00,Nanoleaf0176,OFF
2025-12-21T16:59:56.183877+00:00,HueWhite1549,ON
2025-12-21T17:00:05.184580+00:00,HueWhite0475,OFF
2025-12-21T17:00:26.182696+00:00,HueWhite1549,OFF
2025-12-21T17:00:40.185702+00:00,Nanoleaf1624,ON
2025-12-21T17:00:50.185053+00:00,Nanoleaf0176,ON
2025-12-21T17:01:07.185934+00:00,Nanoleaf0176,OFF
2025-12-21T17:02:23.192380+00:00,ESP3light,ON
2025-12-21T17:02:51.183029+00:00,ESP2light,ON
2025-12-21T17:03:15.184530+00:00,ESP3light,OFF
2025-12-21T17:03:53.189483+00:00,HueWhite1549,ON
2025-12-21T17:04:29.186740+00:00,Nanoleaf0176,ON
2025-12-21T17:04:44.186274+00:00,ESP2light,OFF
2025-12-21T17:05:07.187932+00:00,Nanoleaf0176,OFF
2025-12-21T17:05:42.194941+00:00,Nanoleaf1624,OFF
2025-12-21T17:06:28.184887+00:00,Nanoleaf1624,ON
2025-12-21T17:06:43.186528+00:00,ESP1light,OFF
2025-12-21T17:07:15.186641+00:00,ESP1light,ON
2025-12-21T17:07:25.191111+00:00,ESP3light,ON
2025-12-21T17:07:45.189891+00:00,ESP1light,OFF
2025-12-21T17:08:17.184273+00:00,Nanoleaf0176,ON
