Timestamp,Device,Command
2025-12-22T10:01:14.497517+00:00,HueWhite0475,ON
2025-12-22T10:01:15.479165+00:00,ESP1light,ON
2025-12-22T10:01:25.485256+00:00,HueWhite0475,OFF
2025-12-22T10:02:03.481256+00:00,HueWhite0475,ON
2025-12-22T10:02:54.479117+00:00,Nanoleaf1624,ON
2025-12-22T10:03:39.496860+00:00,ESP3light,ON
2025-12-22T10:04:08.485365+00:00,ESP3light,OFF
2025-12-22T10:04:51.479147+00:00,ESP2light,ON
2025-12-22T10:04:52.482415+00:00,Nanoleaf1624,OFF
2025-12-22T10:05:13.487756+00:00,ESP3light,ON
2025-12-22T10:05:18.480951+00:00,ESP1light,OFF
2025-12-22T10:05:51.483537+00:00,ESP2light,OFF
2025-12-22T10:06:09.488122+00:00,HueWhite1549,ON
2025-12-22T10:06:27.490075+00:00,Nanoleaf0176,ON
2025-12-22T10:07:03.500165+00:00,ESP3light,OFF
2025-12-22T10:07:30.479861+00:00,ESP2light,ON
2025-12-22T10:07:37.480107+00:00,Nanoleaf1624,ON
2025-12-22T10:08:01.481038+00:00,Nanoleaf1624,OFF
2025-12-22T10:08:23.479287+00:00,ESP1light,ON
2025-12-22T10:08:47.481957+00:00,HueWhite0475,OFF
2025-12-22T10:09:01.478537+00:00,ESP3light,ON
2025-12-22T10:09:04.481467+00:00,ESP3light,OFF
2025-12-22T10:09:08.482630+00:00,ESP3light,ON
2025-12-22T10:10:46.490007+00:00,HueWhite0475,ON
2025-12-22T10:10:59.485141+00:00,Nanoleaf0176,OFF
2025-12-22T10:11:04.479374+00:00,ESP3light,OFF
2025-12-22T10:11:08.481183+00:00,HueWhite0475,OFF
2025-12-22T10:11:40.479630+00:00,ESP3light,ON
2025-12-22T10:12:03.490450+00:00,HueWhite0475,ON
2025-12-22T10:12:13.480739+00:00,HueWhite0475,OFF
2025-12-22T10:12:38.483204+00:00,HueWhite1549,OFF
2025-12-22T10:14:36.482803+00:00,ESP3light,OFF
2025-12-22T10:15:55.480792+00:00,Nanoleaf1624,ON
2025-12-22T10:16:04.481536+00:00,Nanoleaf1624,OFF
2025-12-22T10:16:08.481725+00:00,Nanoleaf0176,ON
2025-12-22T10:16:15.480270+00:00,HueWhite0475,ON
2025-12-22T10:17:07.488922+00:00,ESP3light,ON
2025-12-22T10:17:13.478670+00:00,ESP1light,OFF
2025-12-22T10:17:41.488356+00:00,Nanoleaf1624,ON
2025-12-22T10:17:41.493775+00:00,HueWhite1549,ON
2025-12-22T10:18:49.503196+00:00,ESP2light,OFF
2025-12-22T10:19:27.479514+00:00,HueWhite0475,OFF
2025-12-22T10:19:35.482817+00:00,HueWhite1549,OFF
2025-12-22T10:19:42.476367+00:00,Nanoleaf1624,OFF
2025-12-22T10:20:03.478978+00:00,ESP1light,ON
2025-12-22T10:21:05.481172+00:00,HueWhite1549,ON
2025-12-22T10:22:03.480672+00:00,HueWhite1549,OFF
2025-12-22T10:22:24.480996+00:00,ESP2light,ON
2025-12-22T10:22:58.494918+00:00,HueWhite1549,ON
2025-12-22T10:23:02.480801+00:00,ESP2light,OFF
2025-12-22T10:23:27.478290+00:00,HueWhite1549,OFF
2025-12-22T10:24:13.480390+00:00,ESP1light,OFF
2025-12-22T10:24:43.479159+00:00,HueWhite1549,ON
2025-12-22T10:24:45.483926+00:00,HueWhite0475,ON
2025-12-22T10:25:13.481785+00:00,HueWhite0475,OFF
2025-12-22T10:26:50.478985+00:00,HueWhite1549,OFF
2025-12-22T10:26:51.479526+00:00,Nanoleaf0176,OFF
2025-12-22T10:27:09.492334+00:00,Nanoleaf0176,ON
2025-12-22T10:27:53.479657+00:00,Nanoleaf0176,OFF
2025-12-22T10:28:06.480414+00:00,HueWhite1549,ON
2025-12-22T10:28:34.480164+00:00,Nanoleaf1624,ON
2025-12-22T10:28:48.484496+00:00,HueWhite0475,ON
2025-12-22T10:28:51.480721+00:00,Nanoleaf0176,ON
2025-12-22T10:29:41.479899+00:00,HueWhite0475,OFF
2025-12-22T10:30:03.484188+00:00,HueWhite1549,OFF
2025-12-22T10:30:40.480613+00:00,HueWhite1549,ON
2025-12-22T10:30:42.481203+00:00,Nanoleaf0176,OFF
2025-12-22T10:31:04.480998+00:00,ESP2light,ON
2025-12-22T10:31:47.483290+00:00,Nanoleaf1624,OFF
2025-12-22T10:32:05.482044+00:00,HueWhite1549,OFF
2025-12-22T10:32:43.485456+00:00,HueWhite1549,ON
2025-12-22T10:33:24.480761+00:00,ESP3light,OFF
2025-12-22T10:33:48.480262+00:00,ESP2light,OFF
2025-12-22T10:34:10.484078+00:00,Nanoleaf1624,ON
2025-12-22T10:34:25.484813+00:00,Nanoleaf0176,ON
