entity_id,state,last_changed
light.esp1light,off,2025-12-22T10:00:00.000Z
light.esp1light,on,2025-12-22T10:01:15.865Z
light.esp1light,off,2025-12-22T10:05:19.796Z
light.esp1light,on,2025-12-22T10:08:23.873Z
light.esp1light,off,2025-12-22T10:17:14.757Z
light.esp1light,on,2025-12-22T10:20:03.824Z
light.esp1light,off,2025-12-22T10:24:14.750Z
light.esp1light,on,2025-12-22T10:39:48.882Z
light.esp1light,off,2025-12-22T10:40:50.755Z
light.esp1light,on,2025-12-22T10:43:12.812Z
light.esp1light,off,2025-12-22T10:47:38.748Z
light.esp1light,on,2025-12-22T10:48:36.824Z
light.esp1light,off,2025-12-22T10:49:19.757Z
light.esp1light,on,2025-12-22T10:50:01.823Z
light.esp1light,off,2025-12-22T10:53:04.009Z
light.esp1light,on,2025-12-22T10:56:23.815Z
light.esp1light,off,2025-12-22T10:57:00.750Z
light.esp1light,on,2025-12-22T11:05:44.813Z
light.esp1light,off,2025-12-22T11:09:30.758Z
light.esp1light,on,2025-12-22T11:15:30.817Z
light.esp1light,off,2025-12-22T11:15:49.761Z
light.esp1light,on,2025-12-22T11:16:44.828Z
light.esp1light,off,2025-12-22T11:18:34.740Z
light.esp1light,on,2025-12-22T11:22:16.828Z
light.esp1light,off,2025-12-22T11:26:58.749Z
light.esp1light,on,2025-12-22T11:29:06.805Z
light.esp1light,off,2025-12-22T11:29:24.761Z
light.esp1light,on,2025-12-22T11:30:32.829Z
light.esp1light,off,2025-12-22T11:33:24.753Z
light.esp1light,on,2025-12-22T11:37:11.810Z
light.esp1light,off,2025-12-22T11:38:42.764Z
light.esp1light,on,2025-12-22T11:42:59.813Z
light.esp1light,off,2025-12-22T11:43:35.765Z
light.esp1light,on,2025-12-22T11:45:30.813Z
light.esp1light,off,2025-12-22T11:47:04.768Z
light.esp1light,on,2025-12-22T11:52:45.828Z
light.esp1light,off,2025-12-22T11:53:26.747Z
light.esp1light,on,2025-12-22T11:55:22.795Z
light.esp1light,off,2025-12-22T11:59:21.750Z
light.esp1light,on,2025-12-22T12:01:27.818Z
light.esp1light,off,2025-12-22T12:05:16.751Z
light.esp1light,on,2025-12-22T12:05:41.800Z
light.esp1light,off,2025-12-22T12:06:47.753Z
light.esp1light,on,2025-12-22T12:11:25.831Z
light.esp1light,off,2025-12-22T12:12:03.752Z
light.esp1light,on,2025-12-22T12:13:54.841Z
light.esp1light,off,2025-12-22T12:19:14.743Z
light.esp1light,on,2025-12-22T12:20:59.812Z
light.esp1light,off,2025-12-22T12:21:21.755Z
light.esp1light,on,2025-12-22T12:25:14.802Z
light.esp1light,off,2025-12-22T12:28:27.756Z
light.esp1light,on,2025-12-22T12:30:29.825Z
light.esp1light,off,2025-12-22T12:32:54.777Z
light.esp1light,on,2025-12-22T12:39:43.818Z
light.esp1light,off,2025-12-22T12:41:18.748Z
light.esp1light,on,2025-12-22T12:41:56.829Z
light.esp1light,off,2025-12-22T12:48:38.757Z
light.esp1light,on,2025-12-22T12:49:48.818Z
light.esp1light,off,2025-12-22T12:52:05.770Z
light.esp1light,on,2025-12-22T13:04:30.832Z
light.esp1light,off,2025-12-22T13:12:13.765Z
light.esp1light,on,2025-12-22T13:12:55.813Z
light.esp1light,off,2025-12-22T13:19:36.738Z
light.esp1light,on,2025-12-22T13:20:15.814Z
light.esp1light,off,2025-12-22T13:22:36.739Z
light.esp1light,on,2025-12-22T13:30:55.819Z
light.esp1light,off,2025-12-22T13:37:36.745Z
light.esp1light,on,2025-12-22T13:38:16.812Z
light.esp1light,off,2025-12-22T13:38:25.744Z
light.esp1light,on,2025-12-22T13:46:19.842Z
light.esp1light,off,2025-12-22T13:52:36.745Z
light.esp1light,on,2025-12-22T13:55:39.824Z
light.esp1light,off,2025-12-22T13:57:28.768Z
light.esp1light,on,2025-12-22T14:01:37.818Z
light.esp1light,off,2025-12-22T14:03:24.769Z
light.esp1light,on,2025-12-22T14:09:13.849Z
light.esp1light,off,2025-12-22T14:10:44.762Z
light.esp1light,on,2025-12-22T14:12:04.819Z
light.esp1light,off,2025-12-22T14:21:48.752Z
light.esp1light,on,2025-12-22T14:23:41.818Z
light.esp1light,off,2025-12-22T14:27:11.751Z
light.esp1light,on,2025-12-22T14:34:48.824Z
light.esp1light,off,2025-12-22T14:45:48.756Z
light.esp1light,on,2025-12-22T14:53:29.827Z
light.esp1light,off,2025-12-22T14:57:37.752Z
light.esp1light,on,2025-12-22T14:59:56.818Z
light.esp1light,off,2025-12-22T15:05:32.764Z
light.esp1light,on,2025-12-22T15:11:54.821Z
light.esp1light,off,2025-12-22T15:17:14.763Z
light.esp1light,on,2025-12-22T15:17:58.809Z
light.esp1light,off,2025-12-22T15:21:50.758Z
light.esp1light,on,2025-12-22T15:25:41.839Z
light.esp1light,off,2025-12-22T15:29:40.741Z
light.esp1light,on,2025-12-22T15:30:39.837Z
light.esp1light,off,2025-12-22T15:36:20.750Z
light.esp1light,on,2025-12-22T15:37:43.869Z
light.esp1light,off,2025-12-22T15:38:28.772Z
light.esp1light,on,2025-12-22T15:39:53.839Z
light.esp1light,off,2025-12-22T15:41:51.772Z
light.esp1light,on,2025-12-22T15:49:54.814Z
light.esp1light,off,2025-12-22T15:53:32.806Z
light.esp1light,on,2025-12-22T15:53:37.804Z
light.esp1light,off,2025-12-22T16:00:32.744Z
light.esp1light,on,2025-12-22T16:00:56.806Z
light.esp1light,off,2025-12-22T16:01:44.747Z
light.esp1light,on,2025-12-22T16:05:10.825Z
light.esp1light,off,2025-12-22T16:06:27.779Z
light.esp1light,on,2025-12-22T16:07:04.805Z
light.esp1light,off,2025-12-22T16:09:43.790Z
light.esp1light,on,2025-12-22T16:09:47.807Z
light.esp1light,off,2025-12-22T16:17:18.772Z
light.esp1light,on,2025-12-22T16:17:48.837Z
light.esp1light,off,2025-12-22T16:18:34.772Z
light.esp1light,on,2025-12-22T16:21:01.823Z
light.esp1light,off,2025-12-22T16:21:48.754Z
light.esp1light,on,2025-12-22T16:22:40.807Z
light.esp1light,off,2025-12-22T16:27:44.756Z
light.esp1light,on,2025-12-22T16:32:44.814Z
light.esp1light,off,2025-12-22T16:36:08.768Z
light.esp1light,on,2025-12-22T16:37:14.811Z
light.esp1light,off,2025-12-22T16:39:16.979Z
light.esp1light,on,2025-12-22T16:39:57.816Z
light.esp1light,off,2025-12-22T16:40:35.746Z
light.esp1light,on,2025-12-22T16:41:15.805Z
light.esp1light,off,2025-12-22T16:46:36.750Z
light.esp1light,on,2025-12-22T16:48:36.819Z
light.esp1light,off,2025-12-22T16:56:08.753Z
light.esp1light,on,2025-12-22T16:57:02.851Z
light.esp1light,off,2025-12-22T17:00:35.745Z
light.esp1light,on,2025-12-22T17:04:03.835Z
light.esp1light,off,2025-12-22T17:06:38.767Z
light.esp1light,on,2025-12-22T17:07:13.815Z
light.esp1light,off,2025-12-22T17:10:51.757Z
light.esp1light,on,2025-12-22T17:12:43.827Z
light.esp1light,off,2025-12-22T17:19:43.750Z
light.esp1light,on,2025-12-22T17:23:02.851Z
light.esp1light,off,2025-12-22T17:26:54.762Z
light.esp1light,on,2025-12-22T17:34:41.830Z
light.esp1light,off,2025-12-22T17:34:42.894Z
light.esp1light,on,2025-12-22T17:35:49.833Z
light.esp1light,off,2025-12-22T17:37:22.751Z
light.esp1light,on,2025-12-22T17:38:31.814Z
light.esp1light,off,2025-12-22T17:43:13.757Z
light.esp1light,on,2025-12-22T17:48:28.826Z
light.esp1light,off,2025-12-22T17:49:03.737Z
light.esp1light,on,2025-12-22T18:10:05.818Z
light.esp1light,off,2025-12-22T18:13:48.743Z
light.esp1light,on,2025-12-22T18:15:22.813Z
light.esp1light,off,2025-12-22T18:17:28.743Z
